1 of 1 MIP starts provided solutions.
MIP start 'm1' defined initial solution with objective 2141.4012.
Tried aggregator 12 times.
MIP Presolve eliminated 810 rows and 1 columns.
Aggregator did 4331 substitutions.
Reduced MIP has 5973 rows, 5168 columns, and 27346 nonzeros.
Reduced MIP has 800 binaries, 0 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.18 sec. (91.17 ticks)
Probing time = 0.02 sec. (7.62 ticks)
Tried aggregator 1 time.
Reduced MIP has 5973 rows, 5168 columns, and 27346 nonzeros.
Reduced MIP has 800 binaries, 0 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.03 sec. (13.46 ticks)
Probing time = 0.02 sec. (7.29 ticks)
Clique table members: 7980.
MIP emphasis: balance optimality and feasibility.
MIP search method: dynamic search.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 0.14 sec. (95.66 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap

*     0+    0                         2141.4012    10565.8655     4098  393.41%
      0     0     2399.9881   134     2141.4012     2399.9881     4098   12.08%
      0     0     2342.0856   177     2141.4012     Cuts: 273     4726    9.37%
      0     0     2311.2132   200     2141.4012     Cuts: 279     5207    7.93%
      0     0     2298.2599   213     2141.4012     Cuts: 170     5479    7.33%
      0     0     2291.0891   193     2141.4012     Cuts: 148     5715    6.99%
      0     0     2286.8064   202     2141.4012     Cuts: 150     5885    6.79%
      0     0     2284.6387   200     2141.4012     Cuts: 111     6084    6.69%
      0     0     2282.8652   204     2141.4012     Cuts: 144     6242    6.61%
      0     0     2280.2816   208     2141.4012      Cuts: 95     6412    6.49%
      0     0     2279.4381   211     2141.4012     Cuts: 122     6541    6.45%
      0     0     2276.5299   208     2141.4012     Cuts: 114     6689    6.31%
      0     0     2275.0493   208     2141.4012     Cuts: 127     6837    6.24%
      0     0     2274.0252   212     2141.4012     Cuts: 104     6961    6.19%
      0     0     2273.2458   216     2141.4012      Cuts: 53     7038    6.16%
      0     0     2272.5814   212     2141.4012      Cuts: 98     7109    6.13%
      0     0     2271.9638   219     2141.4012      Cuts: 78     7185    6.10%
      0     0     2271.6403   213     2141.4012      Cuts: 71     7224    6.08%
      0     0     2271.1012   211     2141.4012      Cuts: 52     7286    6.06%
      0     0     2270.7303   211     2141.4012      Cuts: 57     7332    6.04%
      0     2     2270.7303   211     2141.4012     2270.7231     7332    6.04%
Elapsed time = 4.36 sec. (2374.95 ticks, tree = 0.00 MB, solutions = 1)
      7     9     2267.5943   190     2141.4012     2270.1318     9419    6.01%
     11    13     2261.0874   190     2141.4012     2270.1318    10345    6.01%
     16    18     2252.5323   163     2141.4012     2270.1318    12132    6.01%
     20    22     2251.1632   172     2141.4012     2270.1318    13354    6.01%
     33    35     2218.4102   123     2141.4012     2270.1318    15504    6.01%
     58    56     2181.1919    61     2141.4012     2270.1318    17298    6.01%
    103    76     2265.0329   221     2141.4012     2270.1250    18835    6.01%
    121    88     2265.7749   209     2141.4012     2267.5908    22600    5.89%
    137   104     2242.4500   177     2141.4012     2267.5908    25008    5.89%
    215   177     2239.9544   189     2141.4012     2267.5906    33673    5.89%
Elapsed time = 10.36 sec. (6041.28 ticks, tree = 1.13 MB, solutions = 1)
    317   269     2253.8962   195     2141.4012     2266.9814    42688    5.86%
    453   378     2227.9913   177     2141.4012     2264.9573    53826    5.77%
