1 of 1 MIP starts provided solutions.
MIP start 'm1' defined initial solution with objective 4401.4104.
Tried aggregator 2 times.
MIP Presolve eliminated 29 rows and 28 columns.
MIP Presolve modified 7044 coefficients.
Aggregator did 2 substitutions.
Reduced MIP has 3369 rows, 1954 columns, and 22524 nonzeros.
Reduced MIP has 1593 binaries, 0 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.02 sec. (14.31 ticks)
Probing time = 0.01 sec. (3.48 ticks)
Tried aggregator 1 time.
MIP Presolve modified 1 coefficients.
Reduced MIP has 3369 rows, 1954 columns, and 22524 nonzeros.
Reduced MIP has 1593 binaries, 0 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.01 sec. (7.72 ticks)
Probing time = 0.01 sec. (3.43 ticks)
Clique table members: 595.
MIP emphasis: balance optimality and feasibility.
MIP search method: dynamic search.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 0.01 sec. (8.64 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap

*     0+    0                         4401.4104    21832.8704      441  396.04%
      0     0     5123.2480   257     4401.4104     5123.2480      441   16.40%
      0     0     4815.8203   216     4401.4104     Cuts: 601      753    9.42%
      0     0     4733.3568   242     4401.4104     Cuts: 510     1006    7.54%
      0     0     4710.1791   257     4401.4104     Cuts: 400     1154    7.02%
      0     0     4682.6314   274     4401.4104     Cuts: 368     1308    6.39%
      0     0     4657.6866   288     4401.4104     Cuts: 392     1440    5.82%
      0     0     4647.8924   284     4401.4104     Cuts: 239     1562    5.60%
      0     0     4638.3568   305     4401.4104     Cuts: 193     1683    5.38%
      0     0     4630.1007   343     4401.4104     Cuts: 222     1798    5.20%
      0     0     4624.0143   337     4401.4104     Cuts: 184     1881    5.06%
      0     0     4618.4363   355     4401.4104     Cuts: 154     1952    4.93%
      0     0     4613.3235   341     4401.4104     Cuts: 124     2036    4.81%
      0     0     4607.0366   340     4401.4104     Cuts: 147     2106    4.67%
      0     0     4594.5877   357     4401.4104      Cuts: 99     2175    4.39%
      0     0     4590.4284   355     4401.4104     Cuts: 109     2229    4.29%
      0     0     4587.4467   350     4401.4104      Cuts: 65     2292    4.23%
      0     0     4580.9832   394     4401.4104     Cuts: 112     2420    4.08%
      0     0     4579.6045   351     4401.4104     Cuts: 125     2472    4.05%
      0     0     4576.7671   386     4401.4104      Cuts: 63     2526    3.98%
      0     0     4575.6488   396     4401.4104      Cuts: 62     2567    3.96%
      0     0     4573.4933   393     4401.4104      Cuts: 62     2620    3.91%
      0     0     4573.0712   383     4401.4104      Cuts: 89     2645    3.90%
      0     0     4572.1471   400     4401.4104      Cuts: 42     2679    3.88%
      0     2     4572.1471   400     4401.4104     4572.0590     2679    3.88%
Elapsed time = 2.71 sec. (1341.49 ticks, tree = 0.00 MB, solutions = 1)
     20    22     4503.4184   316     4401.4104     4559.2078     4044    3.59%
     60    60     4432.8554   162     4401.4104     4559.2078     5326    3.59%
    100    93     4516.5118   262     4401.4104     4558.9851     6644    3.58%
    202   175     4540.9576   344     4401.4104     4557.0207     8416    3.54%
    276   249     4432.9871   221     4401.4104     4557.0207    10056    3.54%
    341   303     4533.4508   342     4401.4104     4551.4999    11980    3.41%
    384   343     4461.4617   299     4401.4104     4550.8377    13773    3.39%
    452   400     4487.3959   332     4401.4104     4550.8085    15494    3.39%
    487   435     4525.4845   426     4401.4104     4525.4254    18902    2.82%
    491   438     4521.7321   360     4401.4104     4521.7258    19105    2.73%
Elapsed time = 20.12 sec. (10216.13 ticks, tree = 0.64 MB, solutions = 1)
    501   368     4518.2555   355     4401.4104     4521.5567    19847    2.73%
    510   373     4516.9025   307     4401.4104     4521.5567    20347    2.73%
    564   362     4500.3472   371     4401.4104     4520.0729    22585    2.70%
    665   410     4511.8345   365     4401.4104     4517.7844    24600    2.64%
    846   483     4486.2218   391     4401.4104     4517.6988    27111    2.64%
   1017   571     4445.3222   162     4401.4104     4517.4213    31520    2.64%
   1184   653     4498.9904   352     4401.4104     4517.1062    35060    2.63%
   1297   726     4416.2631   231     4401.4104     4517.0638    38725    2.63%
   1407   823     4459.3580   270     4401.4104     4516.7038    42669    2.62%
   1547   945     4424.5910   226     4401.4104     4515.6733    46619    2.60%
Elapsed time = 35.48 sec. (20128.06 ticks, tree = 1.85 MB, solutions = 1)
   1757  1129     4464.5001   313     4401.4104     4511.7443    50728    2.51%
   1931  1263     4469.7712   339     4401.4104     4510.1479    55379    2.47%
   2127  1443     4484.0192   353     4401.4104     4509.5538    59641    2.46%
   2301  1590     4463.7921   329     4401.4104     4505.8308    64386    2.37%
   2415  1687     4452.7083   256     4401.4104     4505.6740    68604    2.37%
   2612  1866     4449.8410   294     4401.4104     4505.3239    73525    2.36%
   2766  2006     4408.0477   186     4401.4104     4505.0181    77358    2.35%
   2962  2181     4428.9551   180     4401.4104     4504.8915    81734    2.35%
   3197  2399     4429.7756   186     4401.4104     4504.5227    85890    2.34%
   3297  2477     4423.9684   208     4401.4104     4504.0660    89727    2.33%
Elapsed time = 50.67 sec. (29783.54 ticks, tree = 3.94 MB, solutions = 1)
   3497  2646     4402.9471   114     4401.4104     4503.5885    93842    2.32%
   3560  2688     4459.7930   332     4401.4104     4503.1660    98159    2.31%
   3757  2856     4487.4942   350     4401.4104     4502.8060   102756    2.30%
   3919  3003     4449.2732   331     4401.4104     4501.7800   106709    2.28%
   4065  3131     4469.4095   379     4401.4104     4501.3283   111003    2.27%
   4239  3291     4477.1431   339     4401.4104     4501.1563   115470    2.27%
   4416  3447     4485.4684   334     4401.4104     4500.6768   120415    2.26%
   4562  3580     4468.2991   316     4401.4104     4500.1993   124797    2.24%
   4791  3779     4471.5641   339     4401.4104     4499.6153   129928    2.23%
   4938  3918     4406.4994   200     4401.4104     4499.4700   134066    2.23%
Elapsed time = 66.72 sec. (39746.39 ticks, tree = 5.92 MB, solutions = 1)
   5148  4113     4403.3839   126     4401.4104     4499.1700   138746    2.22%
   5338  4274     4424.3533   358     4401.4104     4498.6786   143512    2.21%
   5497  4423     4442.0995   262     4401.4104     4498.3102   147229    2.20%
   5687  4589     4417.1315   209     4401.4104     4498.1774   151440    2.20%
   5778  4665     4446.2504   279     4401.4104     4497.9480   155456    2.19%
